group,sender,date,College,Interview Outcome,Visa Attempt Number,Interview Date,Interview Time,Interview City,Interview Country,Exam Type,Exam Score,English Test Type,English Test Score,Grad Level,Grad Major,Grad GPA,Grad Institute,Grad Country,Job Type,Job Years
f1interviewreviews,-1001285729190,2023-08-10 15:51:21+00:00,Concordia St Paul university,Approved,1.0,2023-06-07,11:30,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,TOEFL,90.0,Bachelors (4 Years),Electronics and Communication Engineering,7.22,Sai Tirumala NVR Engineering College,"India

        Job Profile",IT Analyst,1.0
f1interviewreviews,-1001285729190,2023-08-10 14:17:21+00:00,Pittsburgh State University,Approved,1.0,2023-06-08,08:40,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,6.5,Bachelors (3 Years),BBA-MA,6.39,Gitam University Hyderabad,"India

        Job Profile",Quality Specialist,1.5
f1interviewreviews,-1001285729190,2023-08-10 12:21:22+00:00,University of Missouri Kansas City,Approved,1.0,2023-06-07,8:00AM,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,320.0,TOEFL,101.0,Bachelors-4,Information and Communication Technology,7.28,SASTRA Deemed to be University,"India

        Job Profile",Software Engineer,1.9
f1interviewreviews,-1001285729190,2023-08-10 10:37:21+00:00,New York Institute of Technology,Rejected,2.0,2023-07-10,12:00,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Others,84.0,TOEFL,84.0,Bachelors-3,Commerce,7.98,Osmania University,"India

        Job Profile",No Experience,0.0
f1interviewreviews,-1001285729190,2023-08-10 09:01:27+00:00,American university,Approved,1.0,2023-06-08,8:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,8.0,Bachelors (3 Years),Bcom honours,9.45,Christ deemed to be university,"India

        Job Profile",Audit,2.0
f1interviewreviews,-1001285729190,2023-08-10 07:25:21+00:00,University of Colorado,Approved,1.0,2023-06-07,10.30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,IELTS,7.5,Bachelors (4 Years),Electrical and Electronics Engineering,8.8,VIT Chennai,"India

        Job Profile",Assistant Manager,4.0
f1interviewreviews,-1001285729190,2023-08-10 05:35:21+00:00,University of north Texas,Approved,1.0,2023-06-08,08:30,Chennai,"India 

        
 @f1interviewreviews


        Exam Profile",GRE,316.0,Dulingo,110.0,Bachelors-4,computer science and engineering,7.3,Mallareddy engineering college for women,"India

        Job Profile",,1.8
f1interviewreviews,-1001285729190,2023-08-10 02:27:21+00:00,University of Scranton Scranton city,Approved,1.0,2023-06-06,09:30,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,Dulingo,130.0,Bachelors-3,Bcom Finance and cost accountancy,5.5,Indira Gandhi National open University,"India

        Job Profile",Senior audit executive,2.0
f1interviewreviews,-1001285729190,2023-08-09 14:42:21+00:00,Purdue,Approved,1.0,2023-06-07,10:20,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,313.0,IELTS,8.0,Bachelors (4 Years),Production Engg,9.05,FRCRCE,"India

        Job Profile",Mechanical Production Engg,1.7
f1interviewreviews,-1001285729190,2023-08-09 13:02:21+00:00,Babson College,Approved,1.0,2023-06-07,9:30,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,7.0,Masters,Computer Science Engineering,7.65,NIT Allahabad,"India

        Job Profile",Senior Software Engineer,5.0
